"Starters;MP;FG;FGA;FG%;3P;3PA;3P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;GmSc;+/-;TS%;eFG%;3PAr;FTr;ORB%;DRB%;TRB%;AST%;STL%;BLK%;TOV%;USG%;ORtg;DRtg;BPM;Result"
"Giannis Antetokounmpo;34:00:00;13;23;.565;0;1;.000;9;14;.643;4;10;14;6;0;1;2;3;35;29.6;-13;.600;.565;.043;.609;9.9;32.8;19.8;34.4;0.0;2.7;6.4;36.2;128;138;10.4;L"
"Taurean Prince;29:51:00;5;14;.357;3;8;.375;0;0;;1;4;5;3;0;1;0;5;13;7.9;-15;.464;.464;.571;.000;2.8;15.0;8.0;13.8;0.0;3.1;0.0;18.5;113;143;-5.1;L"
"Brook Lopez;24:06:00;3;8;.375;0;3;.000;0;0;;3;2;5;3;0;1;1;2;6;5.3;-19;.375;.375;.375;.000;10.5;9.3;10.0;16.1;0.0;3.8;11.1;14.8;100;145;-7.4;L"
"Andre Jackson Jr.;14:57;3;7;.429;1;2;.500;0;1;.000;1;3;4;0;1;1;1;1;7;4.8;-22;.470;.500;.286;.143;5.6;22.4;12.8;0.0;3.2;6.2;11.8;22.3;88;132;-3.9;L"
"Gary Trent Jr.;24:02:00;1;7;.143;0;3;.000;0;0;;0;2;2;0;0;0;0;1;2;-2.3;-7;.143;.143;.429;.000;0.0;9.3;4.0;0.0;0.0;0.0;0.0;11.5;35;147;-19.2;L"
"Khris Middleton;22:39;8;9;.889;3;4;.750;2;2;1.000;0;4;4;2;0;1;1;0;21;20.2;-4;1.063;1.056;.444;.222;0.0;19.7;8.5;16.3;0.0;4.1;9.2;19.0;185;142;16.4;L"
"A.J. Green;17:38;0;3;.000;0;2;.000;0;0;;0;2;2;0;1;0;0;3;0;-1.7;-5;.000;.000;.667;.000;0.0;12.7;5.4;0.0;2.7;0.0;0.0;6.7;0;139;-16.7;L"
"Pat Connaughton;13:29;3;3;1.000;2;2;1.000;0;0;;1;1;2;1;0;2;1;0;8;9.2;2;1.333;1.333;.667;.000;6.2;8.3;7.1;11.0;0.0;13.7;25.0;11.7;173;140;15.3;L"
"Ryan Rollins;10:31;0;5;.000;0;4;.000;0;0;;1;0;1;2;0;0;2;2;0;-4.2;-10;.000;.000;.800;.000;8.0;0.0;4.6;21.2;0.0;0.0;28.6;26.3;28;150;-32.6;L"
"Chris Livingston;3:46;0;1;.000;0;0;;2;2;1.000;3;0;3;0;1;0;0;0;2;4.4;-7;.000;.000;.000;.000;22.4;0.0;12.7;0.0;0.0;0.0;50.0;21.0;32;150;-28.9;L"
"Stanley Umude;3:46;1;2;.500;0;1;.000;0;0;;1;0;1;0;0;0;0;0;2;1.7;-7;.532;.000;.000;2.000;67.1;0.0;38.2;0.0;12.5;0.0;0.0;19.7;165;120;17.5;L"
"MarJon Beauchamp;3:46;0;1;.000;0;0;;0;0;;1;0;1;0;0;0;1;0;0;-1.0;-7;.500;.500;.500;.000;22.4;0.0;12.7;0.0;0.0;0.0;0.0;21.0;124;150;-4.8;L"
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
"Giannis Antetokounmpo;38:20:00;14;27;.519;0;1;.000;3;4;.750;2;9;11;2;2;2;4;2;31;21.4;-3;.539;.519;.037;.148;4.6;25.6;14.1;10.7;2.5;5.1;12.2;37.3;95;100;2.7;L"
"Damian Lillard;36:41:00;5;15;.333;2;7;.286;4;5;.800;1;1;2;6;4;0;3;1;16;12.9;-2;.465;.400;.467;.333;2.4;3.0;2.7;22.8;5.2;0.0;14.9;24.0;93;102;0.4;L"
"Khris Middleton;25:57:00;1;5;.200;0;3;.000;0;0;;0;7;7;3;0;0;1;2;2;1.3;-4;.200;.200;.600;.000;0.0;29.4;13.2;14.2;0.0;0.0;16.7;10.1;58;109;-12.8;L"
"Brook Lopez;23:13;2;9;.222;1;6;.167;0;0;;1;5;6;0;1;1;1;0;5;2.4;1;.278;.278;.667;.000;3.8;23.5;12.7;0.0;2.0;4.2;10.0;18.8;56;103;-9.2;L"
"Andre Jackson Jr.;14:28;3;4;.750;0;0;;0;0;;2;1;3;4;2;0;0;1;6;10.5;-4;.750;.750;.000;.000;12.3;7.5;10.2;42.7;6.6;0.0;0.0;12.1;175;98;18.4;L"
"A.J. Green;30:01:00;7;13;.538;7;13;.538;0;0;;0;2;2;3;1;0;1;2;21;16.6;4;.808;.808;1.000;.000;0.0;7.3;3.3;16.1;1.6;0.0;7.1;20.4;138;110;11.4;L"
"Bobby Portis;25:33:00;4;11;.364;1;4;.250;0;0;;1;6;7;1;3;0;1;3;9;6.9;-5;.409;.409;.364;.000;3.5;25.6;13.4;5.6;5.6;0.0;8.3;20.5;80;97;-3.3;L"
"Taurean Prince;22:03;2;5;.400;1;4;.250;0;0;;0;3;3;5;0;0;0;0;5;6.7;1;.500;.500;.800;.000;0.0;14.8;6.7;29.7;0.0;0.0;0.0;9.9;127;112;1.6;L"
"Gary Trent Jr.;18:01;2;5;.400;1;3;.333;0;0;;0;2;2;0;0;0;0;2;5;2.1;-4;.500;.500;.600;.000;0.0;12.1;5.4;0.0;0.0;0.0;0.0;12.1;94;112;-8.4;L"
"Ryan Rollins;5:43;1;1;1.000;0;0;;0;0;;0;0;0;1;1;0;0;0;2;3.4;1;1.000;1.000;.000;.000;0.0;0.0;0.0;25.8;8.3;0.0;0.0;7.6;208;96;14.0;L"
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
"Brook Lopez;31:35:00;6;10;.600;4;8;.500;0;0;;0;4;4;4;1;2;4;1;16;13.4;22;.800;.800;.800;.000;0.0;12.4;7.5;16.0;1.5;5.4;28.6;19.4;110;101;3.9;W"
"Taurean Prince;31:06:00;3;7;.429;2;5;.400;0;0;;0;2;2;4;3;1;2;1;8;9.0;30;.571;.571;.714;.000;0.0;6.3;3.8;14.6;4.5;2.8;22.2;12.7;107;98;1.7;W"
"Giannis Antetokounmpo;28:47:00;5;8;.625;0;1;.000;1;2;.500;1;11;12;13;0;0;7;1;11;12.7;27;.619;.625;.125;.250;5.2;37.4;24.7;56.1;0.0;0.0;44.1;24.2;111;102;3.4;W"
"Damian Lillard;25:43:00;7;12;.583;5;8;.625;6;7;.857;0;5;5;3;0;0;1;0;25;21.6;20;.829;.792;.667;.583;0.0;19.0;11.5;16.5;0.0;0.0;6.2;27.4;155;106;8.5;W"
"Andre Jackson Jr.;15:57;2;3;.667;1;2;.500;0;0;;3;1;4;3;0;3;2;1;5;7.9;9;.833;.833;.667;.000;28.2;6.1;14.9;22.0;0.0;16.1;40.0;13.7;137;98;10.7;W"
"Gary Trent Jr.;23:56;6;9;.667;3;5;.600;2;2;1.000;0;3;3;1;3;0;1;3;17;15.5;14;.860;.833;.556;.222;0.0;12.3;7.4;5.7;5.9;0.0;9.2;19.9;145;95;8.1;W"
"Bobby Portis;22:46;8;12;.667;4;6;.667;0;0;;1;6;7;3;0;0;1;2;20;17.6;9;.833;.833;.500;.000;6.6;25.8;18.2;21.0;0.0;0.0;7.7;25.0;149;104;10.0;W"
"Ryan Rollins;18:21;4;8;.500;0;2;.000;2;2;1.000;0;4;4;3;0;0;1;1;10;7.9;9;.563;.500;.250;.250;0.0;21.4;12.9;21.5;0.0;0.0;10.1;23.6;119;105;-6.8;W"
"A.J. Green;13:04;2;3;.667;1;2;.500;0;0;;0;0;0;1;0;0;0;5;5;2.4;4;.833;.833;.667;.000;0.0;0.0;0.0;9.3;0.0;0.0;0.0;10.1;167;108;-5.9;W"
"MarJon Beauchamp;6:36;1;3;.333;0;2;.000;0;0;;0;0;0;0;0;1;1;1;2;-0.4;-5;.333;.333;.667;.000;0.0;0.0;0.0;0.0;0.0;13.0;25.0;26.5;48;101;-21.0;W"
"Pat Connaughton;6:36;1;2;.500;0;0;;0;0;;0;1;1;1;0;0;0;1;2;1.6;-5;.500;.500;.000;.000;0.0;14.8;9.0;18.3;0.0;0.0;0.0;13.3;127;106;-6.2;W"
"Liam Robbins;6:16;0;2;.000;0;0;;1;2;.500;1;1;2;1;0;0;1;0;1;-0.1;-5;.174;.000;.000;1.000;23.9;15.6;18.9;16.3;0.0;0.0;25.8;27.1;67;107;-20.7;W"
"Stanley Umude;5:21;1;1;1.000;1;1;1.000;0;0;;1;1;2;0;0;0;0;1;3;3.3;-4;1.500;1.500;1.000;.000;28.0;18.3;22.2;0.0;0.0;0.0;0.0;8.2;266;105;11.8;W"
"Delon Wright;3:56;1;2;.500;1;2;.500;0;0;;0;0;0;0;0;1;0;1;3;2.3;-5;.750;.750;1.000;.000;0.0;0.0;0.0;0.0;0.0;21.8;0.0;22.3;131;94;12.1;W"
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
"Giannis Antetokounmpo;35:42:00;11;21;.524;0;1;.000;3;7;.429;3;13;16;8;0;1;4;1;25;21.0;13;.519;.524;.048;.333;9.2;29.6;20.9;36.8;0.0;3.1;14.2;33.8;109;103;3.9;W"
"Brook Lopez;35:23:00;8;17;.471;5;11;.455;1;1;1.000;2;5;7;1;1;2;0;3;22;18.1;7;.631;.618;.647;.059;6.2;11.5;9.2;4.1;1.4;6.3;0.0;21.2;133;105;5.6;W"
"Damian Lillard;35:20:00;8;13;.615;4;7;.571;6;6;1.000;0;5;5;8;0;0;2;1;26;24.8;8;.831;.769;.538;.462;0.0;11.5;6.6;32.8;0.0;0.0;11.3;21.4;160;113;10.1;W"
